"tree_id","species","height_baseline","height_final"
7,"oak",294,308
9,"willow",291,298
16,"fir",204,230
18,"willow",309,314
20,"fir",166,191
28,"oak",523,540
32,"willow",227,232
40,"fir",130,152
59,"fir",324,341
66,"willow",220,225
68,"oak",259,276
72,"willow",275,280
80,"fir",153,172
82,"willow",243,257
101,"willow",212,220
106,"fir",162,179
110,"oak",319,331
111,"oak",357,371
112,"oak",237,246
152,"willow",222,233
161,"fir",215,243
169,"willow",219,221
178,"fir",206,233
179,"oak",343,360
180,"oak",349,357
185,"oak",292,296
186,"fir",176,148
191,"fir",120,149
194,"fir",301,324
199,"fir",173,194
200,"oak",314,323
208,"fir",41,58
222,"oak",250,261
234,"oak",327,339
235,"oak",511,522
242,"fir",150,133
247,"oak",233,244
250,"willow",308,311
256,"fir",182,203
260,"oak",170,187
263,"fir",281,305
264,"fir",233,254
277,"fir",201,222
293,"willow",243,251
295,"oak",290,301
300,"fir",82,67
307,"willow",224,230
308,"willow",213,225
314,"willow",156,163
320,"fir",156,175
321,"willow",361,370
322,"oak",316,328
334,"fir",66,89
349,"oak",514,526
351,"willow",227,229
353,"oak",384,397
369,"willow",313,321
372,"willow",212,218
375,"willow",203,215
379,"oak",353,360
387,"fir",137,157
388,"fir",153,176
391,"willow",241,248
398,"willow",250,256
401,"fir",179,196
410,"willow",247,257
411,"fir",48,42
413,"willow",273,280
414,"oak",467,487
416,"fir",156,177
438,"fir",41,66
458,"fir",186,209
465,"oak",368,379
471,"fir",263,277
482,"fir",19,29
487,"oak",279,291
490,"willow",232,244
501,"oak",427,433
522,"willow",189,193
523,"willow",347,355
529,"willow",295,302
530,"willow",331,334
532,"oak",339,348
535,"oak",317,324
536,"oak",326,337
537,"fir",417,433
538,"fir",161,177
539,"willow",268,275
540,"fir",258,288
546,"fir",258,274
549,"fir",144,125
557,"willow",245,251
564,"willow",232,233
568,"willow",260,260
573,"oak",392,407
577,"fir",169,183
587,"oak",244,262
597,"willow",310,317
598,"willow",284,298
615,"fir",47,75
620,"willow",293,299
625,"oak",422,434
628,"willow",180,186
637,"willow",212,216
646,"fir",156,184
650,"fir",265,275
658,"fir",103,95
666,"willow",190,202
692,"fir",118,124
694,"oak",443,463
698,"oak",448,464
700,"willow",197,208
709,"fir",246,262
713,"oak",372,377
714,"oak",408,421
