"tree_id","species","height_baseline","height_final"
3,"willow",328,333
12,"oak",274,288
13,"fir",296,279
17,"willow",239,246
22,"fir",223,241
23,"willow",284,291
35,"willow",194,201
43,"willow",181,183
47,"willow",351,357
58,"willow",225,235
63,"fir",54,69
85,"oak",489,496
91,"oak",40,52
94,"oak",352,367
100,"willow",268,277
103,"oak",358,375
109,"oak",285,295
113,"oak",386,395
114,"willow",285,293
119,"oak",361,369
126,"willow",355,368
130,"willow",274,280
136,"willow",252,255
138,"oak",337,345
147,"fir",108,128
149,"oak",283,294
150,"oak",418,429
155,"willow",200,209
156,"willow",244,247
158,"fir",265,287
162,"oak",304,319
171,"fir",323,356
174,"fir",306,316
177,"willow",253,262
188,"fir",278,300
205,"willow",292,299
207,"fir",255,264
211,"oak",324,338
212,"fir",73,90
224,"fir",285,314
233,"fir",129,144
239,"fir",23,46
240,"oak",311,324
246,"fir",65,94
257,"oak",434,445
258,"fir",89,117
266,"fir",204,225
271,"willow",284,294
276,"fir",21,46
280,"fir",108,129
283,"willow",225,231
286,"fir",313,326
287,"fir",91,108
289,"fir",302,318
291,"fir",162,174
301,"oak",343,351
309,"willow",292,300
311,"fir",78,56
313,"willow",212,220
325,"fir",-145,-166
337,"fir",259,280
339,"oak",420,428
355,"oak",340,357
356,"oak",359,379
366,"fir",240,265
385,"oak",340,351
389,"oak",372,381
392,"willow",294,305
393,"fir",56,68
399,"willow",263,270
400,"oak",237,248
402,"fir",180,194
418,"oak",427,442
426,"willow",164,166
432,"oak",228,242
441,"fir",333,347
442,"fir",168,197
452,"oak",367,388
455,"willow",249,256
462,"willow",328,342
464,"willow",199,209
470,"oak",471,491
484,"willow",316,324
488,"fir",140,NA
503,"willow",290,297
513,"oak",274,288
515,"willow",255,265
517,"oak",381,392
521,"willow",187,198
527,"willow",221,232
533,"oak",401,412
542,"willow",275,281
544,"willow",200,208
553,"willow",209,223
556,"oak",417,434
558,"fir",390,412
561,"willow",127,133
562,"oak",254,263
565,"willow",259,269
574,"oak",316,325
575,"fir",171,193
576,"willow",193,204
582,"fir",149,173
583,"fir",194,216
585,"oak",252,248
592,"fir",83,98
593,"willow",270,276
606,"fir",120,137
608,"oak",264,271
612,"fir",46,33
617,"willow",197,206
622,"willow",260,270
623,"oak",269,282
657,"willow",256,263
672,"willow",222,228
673,"willow",217,226
679,"fir",159,174
682,"willow",208,221
687,"willow",296,300
691,"fir",23,45
695,"willow",214,221
710,"fir",160,185
738,"willow",350,363
740,"oak",273,283
746,"oak",423,430
751,"willow",189,196
765,"willow",257,264
767,"fir",110,133
775,"oak",212,221
779,"oak",258,256
780,"oak",193,200
791,"oak",365,373
795,"willow",197,201
800,"oak",390,400
802,"willow",195,211
803,"willow",241,251
804,"oak",416,428
808,"willow",258,267
809,"fir",200,232
810,"oak",408,425
811,"willow",219,227
829,"oak",324,334
834,"oak",122,127
835,"fir",230,251
842,"willow",207,218
850,"willow",234,240
856,"willow",243,235
859,"willow",291,280
865,"fir",167,182
884,"oak",483,488
896,"oak",320,327
900,"oak",311,290
907,"fir",89,119
923,"willow",232,239
938,"fir",1,20
941,"oak",320,339
945,"fir",100,127
946,"willow",275,285
953,"fir",79,100
955,"fir",146,167
968,"oak",239,259
973,"fir",79,101
979,"willow",252,257
980,"oak",337,347
993,"fir",158,178
1011,"willow",243,257
1014,"fir",158,177
1016,"oak",228,240
1017,"fir",67,78
1023,"willow",312,323
1024,"willow",236,242
1026,"willow",339,337
1039,"fir",182,203
1040,"oak",385,401
1050,"willow",247,254
1052,"willow",261,265
1063,"fir",58,77
1068,"fir",190,221
1073,"oak",420,435
1074,"oak",291,303
1075,"willow",180,191
1079,"fir",150,174
1080,"oak",404,416
1081,"willow",189,196
1082,"fir",257,270
1084,"willow",231,243
1091,"oak",392,405
1094,"willow",280,291
1095,"willow",253,263
1096,"fir",79,105
1108,"fir",131,161
1116,"willow",228,238
1123,"oak",236,244
1132,"oak",242,257
1133,"fir",201,225
1147,"willow",239,244
1149,"oak",243,254
1151,"willow",235,243
1157,"willow",298,307
1159,"fir",219,243
1163,"oak",341,351
1166,"willow",262,271
1167,"fir",388,415
1169,"willow",200,201
1181,"oak",290,303
1188,"oak",285,298
1194,"oak",260,272
1196,"oak",318,319
1198,"oak",478,487
1204,"oak",492,499
1212,"fir",135,153
1214,"oak",200,215
1215,"oak",365,384
1216,"oak",291,306
1217,"fir",298,318
1234,"fir",84,104
1238,"fir",190,202
1240,"oak",392,405
1250,"willow",281,294
1263,"fir",197,222
1265,"willow",170,180
1268,"fir",149,174
1275,"willow",253,261
1280,"oak",377,369
1282,"willow",199,205
1293,"fir",286,277
1294,"oak",343,361
1323,"willow",274,281
1326,"oak",203,216
1330,"fir",-2,18
1336,"willow",270,277
1337,"oak",310,328
1338,"willow",217,227
1353,"oak",269,281
1355,"oak",457,467
1356,"fir",264,284
1370,"willow",218,228
1379,"oak",344,358
1388,"fir",213,199
1399,"fir",211,226
1402,"oak",398,412
1404,"oak",282,297
1407,"oak",261,269
1415,"willow",249,261
1416,"willow",338,343
1417,"fir",321,342
1429,"willow",246,254
1443,"willow",219,231
1449,"fir",91,111
1465,"willow",320,332
1466,"oak",179,190
1468,"fir",157,177
1470,"willow",239,242
1484,"oak",180,191
1494,"fir",267,292
1511,"oak",347,366
1512,"fir",92,109
1514,"willow",181,188
1521,"willow",190,198
1534,"willow",330,337
1541,"oak",357,371
1547,"oak",298,305
1549,"willow",266,269
1552,"oak",319,334
1554,"willow",291,301
1555,"fir",119,145
1558,"oak",230,248
1567,"willow",287,293
1570,"fir",37,56
1571,"willow",194,205
1581,"fir",56,82
1583,"oak",504,517
1586,"willow",180,187
1588,"willow",286,298
1592,"oak",417,429
1601,"fir",156,171
1615,"fir",233,253
1617,"willow",271,278
1618,"willow",254,262
1625,"oak",285,302
1626,"willow",164,170
1638,"willow",229,239
1640,"oak",164,168
1642,"willow",183,188
1644,"willow",211,215
1645,"willow",299,305
1647,"willow",337,339
1650,"willow",300,308
1660,"willow",231,241
1668,"oak",416,427
1669,"willow",161,170
1681,"willow",290,296
1690,"fir",201,224
1699,"oak",154,162
1707,"oak",371,392
1708,"fir",248,262
1720,"fir",238,257
1726,"willow",177,185
1732,"fir",366,394
1737,"willow",355,363
1738,"oak",266,284
1741,"fir",23,43
1745,"oak",376,389
1748,"willow",229,236
1751,"fir",93,110
1754,"willow",217,226
1760,"oak",376,387
1769,"oak",300,314
1786,"willow",316,316
1793,"fir",233,254
1802,"fir",436,463
1812,"fir",288,308
1813,"willow",251,256
1821,"willow",256,260
1825,"willow",183,192
1830,"oak",185,196
1831,"fir",232,247
1833,"fir",54,79
1834,"willow",196,203
1844,"willow",186,201
1847,"fir",106,122
1849,"fir",257,271
1855,"willow",179,188
1860,"willow",255,260
1861,"fir",346,335
1866,"willow",259,266
1882,"fir",143,156
1890,"oak",258,280
1891,"oak",375,383
1900,"fir",66,89
1902,"oak",388,392
1909,"oak",269,283
1913,"willow",296,308
1941,"willow",278,279
1951,"willow",271,274
1952,"oak",428,437
1958,"willow",260,270
1961,"fir",112,134
1965,"oak",292,313
1969,"fir",85,99
1970,"willow",376,382
1975,"willow",217,229
1992,"willow",245,254
2000,"willow",174,185
2014,"willow",351,362
2019,"oak",359,371
2031,"willow",269,273
2039,"fir",199,214
2043,"fir",170,193
2053,"willow",274,284
2058,"willow",220,230
2061,"oak",421,432
2066,"willow",310,313
2070,"fir",354,372
2079,"fir",231,251
2080,"oak",346,350
2083,"fir",-15,7
2088,"willow",345,352
2090,"willow",295,308
2094,"oak",396,404
2095,"fir",244,266
2115,"oak",486,495
2116,"fir",275,300
2120,"willow",226,230
2127,"willow",281,289
2132,"oak",359,367
2134,"fir",270,291
2135,"willow",277,291
2137,"fir",86,98
2140,"fir",85,107
2148,"fir",250,258
2154,"fir",270,288
2155,"fir",145,164
2163,"willow",331,337
2170,"willow",288,299
2174,"oak",342,357
2180,"oak",373,363
2188,"oak",459,474
2193,"fir",121,145
2197,"willow",198,203
2201,"oak",160,175
2202,"fir",185,206
2207,"fir",37,52
2214,"oak",398,416
2220,"willow",237,247
2225,"oak",269,279
2237,"fir",238,250
2251,"willow",280,288
2258,"fir",393,418
2277,"fir",6,26
2278,"fir",215,236
2281,"willow",230,231
2288,"fir",98,86
2313,"fir",145,161
2323,"willow",174,185
2335,"willow",288,299
2341,"oak",338,361
2347,"fir",188,200
2351,"willow",228,231
2354,"willow",182,186
2363,"fir",233,249
2370,"fir",41,20
2375,"fir",286,315
2377,"fir",188,182
2382,"fir",256,275
2397,"fir",139,152
2401,"fir",171,186
2402,"oak",280,293
2404,"willow",284,294
2413,"willow",249,261
2414,"oak",384,403
2431,"willow",247,257
2441,"fir",127,144
2444,"oak",394,406
2445,"fir",123,151
2446,"fir",502,517
2450,"oak",280,292
2455,"willow",229,242
2461,"willow",253,259
2464,"oak",256,250
2466,"oak",400,417
2476,"willow",232,241
2481,"oak",329,338
2484,"willow",341,342
2491,"willow",305,308
2499,"oak",293,305
2512,"fir",42,60
2514,"fir",98,109
2519,"fir",140,167
2521,"willow",298,309
2522,"willow",269,277
2531,"fir",200,211
2533,"fir",126,138
2534,"willow",307,318
2535,"fir",176,194
2540,"willow",264,274
2542,"oak",204,216
2546,"fir",205,230
2548,"fir",244,274
2552,"oak",398,417
2569,"willow",215,221
2571,"oak",242,253
2576,"fir",164,195
2578,"oak",317,332
2606,"fir",174,187
2607,"oak",453,468
2623,"oak",318,329
2625,"willow",304,307
2637,"fir",106,121
2642,"oak",502,515
2644,"oak",169,187
2657,"fir",164,178
2661,"oak",326,331
2662,"oak",343,352
2669,"oak",300,310
2670,"fir",180,198
2672,"oak",301,313
2675,"oak",382,394
2678,"fir",265,284
2683,"willow",221,227
2688,"willow",333,345
2691,"willow",208,208
2692,"oak",310,321
2694,"oak",352,364
2699,"oak",282,293
2700,"oak",227,235
2702,"oak",359,364
2703,"oak",325,335
2717,"oak",342,355
2721,"fir",375,396
2728,"oak",340,349
2734,"fir",280,297
2736,"oak",426,439
2737,"willow",216,225
2742,"oak",409,399
2746,"oak",404,417
2748,"oak",474,495
2759,"oak",229,238
2765,"willow",274,286
2770,"willow",158,159
2775,"fir",161,177
2780,"oak",299,297
2785,"oak",384,381
2787,"oak",166,181
2789,"oak",299,310
2791,"oak",362,379
2796,"fir",125,142
2801,"fir",124,131
2813,"oak",279,290
2821,"willow",111,120
2829,"willow",209,219
2830,"oak",547,563
2855,"oak",148,160
2865,"oak",355,363
2869,"fir",166,190
2874,"willow",158,167
2882,"fir",273,256
2885,"willow",241,249
2890,"oak",324,317
2901,"fir",151,176
2904,"oak",226,235
2913,"willow",319,325
2916,"oak",313,332
2922,"willow",269,278
2931,"fir",97,118
2938,"oak",355,368
2939,"willow",276,288
2944,"oak",363,374
2952,"oak",255,262
2959,"willow",198,196
2961,"fir",151,155
2966,"willow",338,346
2967,"fir",102,128
2976,"fir",287,307
2988,"willow",218,226
2993,"fir",319,335
2995,"fir",276,297
2999,"oak",458,475
3012,"willow",247,248
3014,"oak",331,342
3015,"fir",325,334
3016,"willow",271,285
3023,"fir",60,90
3026,"fir",138,165
3037,"willow",238,237
3039,"fir",256,276
3044,"oak",425,437
3046,"oak",241,249
3052,"willow",210,219
3064,"willow",200,207
3076,"oak",411,420
3077,"oak",415,424
3103,"fir",148,136
3109,"fir",66,82
3112,"fir",313,333
3117,"willow",206,212
3123,"fir",131,152
3138,"oak",417,428
3142,"oak",260,272
3145,"fir",199,216
3146,"fir",66,42
3152,"oak",274,282
3154,"fir",187,206
3158,"oak",481,495
3170,"fir",226,247
3181,"willow",280,291
3187,"fir",192,216
